"","update_date","update_time","qua_id","code_name","longitude","latitude","qua_cntu","qua_cl","qua_ph"
"1","2015-09-30","15:15:00  ","CS00        ","雙溪淨水場","121.56094","25.11574","0.02","0.63","7.2"
"2","2015-09-30","15:15:00  ","CS01        ","衛理女中","121.54401","25.10325","0.12","0.41","7.1"
"3","2015-09-30","15:15:00  ","CS02        ","雙溪國小                ","121.55557","25.10763","0.13","0.39","7.3"
"4","2015-09-30","15:15:00  ","CS03        ","華興加壓站","121.53476","25.10356","0.03","0.36","7.3"
"5","2015-09-30","15:15:00  ","CX00        ","長興淨水場","121.54043","25.01633","1.54","0.42","7.1"
"6","2015-09-30","15:15:00  ","CX02        ","市政大樓","121.55661","25.04250","0.09","0.45","7.8"
"7","2015-09-30","15:15:00  ","CX03        ","市議會","121.55360","25.04001","0.16","0.41","7.2"
"8","2015-09-30","15:15:00  ","CX04        ","捷運忠孝復興站","121.53551","25.04251","0.11","0.53","7.5"
"9","2015-09-30","15:15:00  ","CX05        ","南港高工","121.59892","25.05787","0.76","0.42","7.1"
"10","2015-09-30","15:15:00  ","CX06        ","南港加壓站","121.60829","25.04994","-9","0.44","6.9"
"11","2015-09-30","15:15:00  ","CX07        ","挹翠加壓站","121.56617","25.02339","0.06","0.51","7.3"
"12","2015-09-30","15:15:00  ","CX08        ","敦化國中                ","121.53852","25.05305","0.08","0.55","7.9"
"13","2015-09-30","15:15:00  ","GG00        ","公館淨水場","121.52221","25.01421","0.08","0.58","6.9"
"14","2015-09-30","15:15:00  ","GG01        ","捷運台北車站","121.50946","25.04860","0.84","0.55","7"
"15","2015-09-30","15:15:00  ","GG02        ","捷運中正紀念堂站","121.51198","25.03667","0.38","0.48","7"
"16","2015-09-30","15:15:00  ","GG03        ","萬華國中","121.49045","25.03069","0.06","0.44","7"
"17","2015-09-30","15:15:00  ","GG04        ","華江社區配水池","121.48482","25.03651","-9","0.33","7.2"
"18","2015-09-30","15:15:00  ","GG05        ","西門國小","121.49537","25.04475","0.41","0.51","7.1"
"19","2015-09-30","15:15:00  ","GG06        ","忠孝國小","121.52330","25.04445","0.08","0.43","7.1"
"20","2015-09-30","15:15:00  ","GG07        ","螢橋國小","121.50684","25.02738","0.13","0.43","7"
"21","2015-09-30","15:15:00  ","JT00        ","直潭淨水場               ","121.52536","24.94578","0.88","0.58","7.3"
"22","2015-09-30","15:15:00  ","JT02        ","伸仗板配水池","121.53502","24.93163","-9","-9","-9"
"23","2015-09-30","15:15:00  ","JT10        ","中和加壓站","121.51252","24.99116","0.26","0.53","7.2"
"24","2015-09-30","15:15:00  ","JT11        ","安康加壓站","121.50043","24.96287","0.23","0.57","7.4"
"25","2015-09-30","15:15:00  ","JT12        ","頂溪站","121.50717","25.01439","0.44","0.54","7.4"
"26","2015-09-30","15:15:00  ","JT13        ","中和國小","121.49252","25.00055","0.54","0.43","7.6"
